CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,,Oulu,,90110,Finland
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
"Stylish Desk Decors, Co.",Brown,Ann,(171) 555-0297,35 King George,,London,,WX3 6FW,UK
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain
Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA
Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
Canadian Gift Exchange Network,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada
Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
Signal Gift Stores,King,Sue,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA
Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA
Rovelli Gifts,Rovelli,Giovanni,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
"Australian Collectables, Ltd",Connery,Sean,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France
Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore
Auto Assoc. & Cie.,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France
Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,,Oulu,,90110,Finland
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
"Stylish Desk Decors, Co.",Brown,Ann,(171) 555-0297,35 King George,,London,,WX3 6FW,UK
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain
"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France
Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
Canadian Gift Exchange Network,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France
Rovelli Gifts,Rovelli,Giovanni,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
"Royal Canadian Collectables, Ltd.",Lincoln,Elizabeth,(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada
The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway
"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland
Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
Danish Wholesale Imports,Petersen,Jytte,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark
"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
Gift Ideas Corp.,Lewis,Dan,2035554407,2440 Pompton St.,,Glendale,CT,97561,USA
"Australian Gift Network, Co",Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Reims Collectables,Henriot,Paul,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France
Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA
Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
Daedalus Designs Imports,Rance,Martine,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France
Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
Atelier graphique,Schmitt,Carine,40.32.2555,"54, rue Royale",,Nantes,,44000,France
Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
"Australian Gift Network, Co",Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
Auto Canal Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA
Rovelli Gifts,Rovelli,Giovanni,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
"Australian Collectables, Ltd",Connery,Sean,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Mini Caravy,Citeaux,Frederique,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
Auto Assoc. & Cie.,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
Atelier graphique,Schmitt,Carine,40.32.2555,"54, rue Royale",,Nantes,,44000,France
Reims Collectables,Henriot,Paul,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Collectable Mini Designs Co.,Thompson,Valarie,7605558146,361 Furth Circle,,San Diego,CA,91217,USA
Mini Caravy,Citeaux,Frederique,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
Signal Gift Stores,King,Sue,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,,New Bedford,MA,50553,USA
Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
Reims Collectables,Henriot,Paul,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France
Royale Belge,Cartrain,Pascale,(071) 23 67 2555,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA
"Australian Gift Network, Co",Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia
"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,,Philadelphia,PA,71270,USA
"Australian Collectables, Ltd",Connery,Sean,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia
Canadian Gift Exchange Network,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada
West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA
Cambridge Collectables Co.,Tseng,Kyung,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
Auto Assoc. & Cie.,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Petit Auto,Dewey,Catherine,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium
Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA
Rovelli Gifts,Rovelli,Giovanni,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy
"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,,Philadelphia,PA,71270,USA
"Australian Collectables, Ltd",Connery,Sean,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia
Canadian Gift Exchange Network,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada
West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA
Cambridge Collectables Co.,Tseng,Kyung,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
The Sharp Gifts Warehouse,Frick,Sue,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
Auto Assoc. & Cie.,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
